AL,nest,nest_mate,date,year,DOY,sunrise,time,time_after_sunrise,process_time,time_on_ice,CORT_time,CORT_cat,CORT_value,CORT_sec,sex,age,age.2,incubator
751,NA,NA,28-Mar-17,2017,87,6.29,8.283333333,1.99,11.96666667,3.683333333,0,base,1.65394982,51,F,adult,adult,NA
751,NA,NA,28-Mar-17,2017,87,6.29,8.283333333,1.99,11.96666667,3.683333333,15,min15,34.5757186,NA,F,adult,adult,NA
751,NA,NA,28-Mar-17,2017,87,6.29,8.283333333,1.99,11.96666667,3.683333333,30,min30,NA,NA,F,adult,adult,NA
1246,NA,NA,10-Apr-17,2017,100,6.22,10.03333333,3.81,12.7,2.666666667,0,base,3.624113773,106,M,adult,adult,NA
1246,NA,NA,10-Apr-17,2017,100,6.22,10.03333333,3.81,12.7,2.666666667,15,min15,65.5561014,950,M,adult,adult,NA
1246,NA,NA,10-Apr-17,2017,100,6.22,10.03333333,3.81,12.7,2.666666667,30,min30,115.9846405,1815,M,adult,adult,NA
1289,NA,NA,29-Mar-17,2017,88,6.28,8.5,2.22,11.81666667,3.316666667,0,base,0.393108039,94,F,adult,adult,NA
1289,NA,NA,29-Mar-17,2017,88,6.28,8.5,2.22,11.81666667,3.316666667,15,min15,30.11099645,874,F,adult,adult,NA
1289,NA,NA,29-Mar-17,2017,88,6.28,8.5,2.22,11.81666667,3.316666667,30,min30,60.58056585,1750,F,adult,adult,NA
1366,NA,NA,7-Apr-17,2017,97,6.24,9.833333333,3.59,11.8,1.966666667,0,base,7.272278528,98,M,adult,adult,NA
1366,NA,NA,7-Apr-17,2017,97,6.24,9.833333333,3.59,11.8,1.966666667,15,min15,68.16449236,934,M,adult,adult,NA
1366,NA,NA,7-Apr-17,2017,97,6.24,9.833333333,3.59,11.8,1.966666667,30,min30,153.1186339,1828,M,adult,adult,NA
1391,NA,NA,11-Apr-17,2017,101,6.22,10.66666667,4.45,11.75,1.083333333,0,base,5.121940614,151,F,adult,adult,NA
1391,NA,NA,11-Apr-17,2017,101,6.22,10.66666667,4.45,11.75,1.083333333,15,min15,NA,NA,F,adult,adult,NA
